,Name,Location
160,"Arabian Nights,","210 Thimbirigasyaya Rd, Colombo Sri Lanka"
161,Pizza Hut,"1 Sripa Road Thimbirigasyaya, Colombo 5, Colombo Sri Lanka"
162,Tony Ni Barbecue,"59 Walukarama Road, Colombo Sri Lanka"
163,Java Lounge,"No. 76 Barnes Place, Colombo 00700 Sri Lanka"
164,Al Maas Family Restaurant,"56 W a. Silva Mawatha, Colombo 00600 Sri Lanka"
165,Sathkara by Stay Lost & Found,"No 18 Boyd Place Colombo 03, Colombo 00300 Sri Lanka"
166,Casserole,"253 Galle Road, Colombo Sri Lanka"
167,Moon River Chinese Sea Food Restaurant,"Thimbirigasyaya Rd, Colombo 00500 Sri Lanka"
168,Mood Cafe & Bistro,"75 Galle Road, Colombo Sri Lanka"
169,Chocoholicslk,"357A R A De Mel Mawatha Colombo 3, Colombo 00300 Sri Lanka"
170,The Grove,"5 289 Highlevel Road, Colombo, Colombo 00500 Sri Lanka"
171,Mr Burger,"No 95 Galle Road Bambalapitiya, Colombo 00400 Sri Lanka"
172,The Bibim,"71 A Thimbirigasyaya Road Opposite The fab, Colombo Sri Lanka"
173,Sri Ariya Bawan Hotel,"08 42 D S Senanayake Mawatha, Colombo Sri Lanka"
174,Stix,"Hotel Galadari, 64, Lotus Road, Colombo Sri Lanka"
175,Twister,"666 Galle Road, Colombo Sri Lanka"
176,CafÈ Island,"472 Thimbirigasyaya Rd, Colombo 00500 Sri Lanka"
177,Street Meet,"Galle Road Colpetty, Colombo Sri Lanka"
178,TGI Fridays,"1A Centre Road 06-10, One Galle Face Mall, Colombo 00100 Sri Lanka"
179,Coffee & Bread on 27th,"3 34 27 Ln, Colombo, Colombo 00300 Sri Lanka"
180,Hotel Mayura Restaurant,"Sri Kathiresan Street, Colombo 01300 Sri Lanka"
181,Ponnusamy Chettinad Non-Veg,"19/1 Horton Place, Colombo 00700 Sri Lanka"
182,PappaRich,"33 Park St, Colombo 00200 Sri Lanka"
183,Gandhi Lodge,"200, Galle road, Colombo Sri Lanka"
184,Fan Tab,"229 Srimath Anagarika Dharmapala Mawatha, Colombo 00700 Sri Lanka"
185,Ananda Bhavan,"D. S. Senanayake Mawatha, Colombo 00700 Sri Lanka"
186,Dinemore,"# 50A Mutthaiah Road, Braybrooke St., Colombo 00200 Sri Lanka"
187,Polathu Bath Kade,"34,wijerama Mawatha Colombo.  7, Colombo Sri Lanka"
188,Kobe At The Edge,"316, Ethul Kotte Road Waters Edge. Sri Jayawardanepura. Kotte., Colombo Sri Lanka"
189,Tokyo Shokudo,"Food Studio at Colombo City Centre, 137 Sir James Pieris Mawatha, Colombo 00200 Sri Lanka"
190,Cafe993 Restaurant,"280/3 Alvitigala Mw Colombo 08, Colombo 00800 Sri Lanka"
191,Tides Restaurant,"No 590 Marine Drive, Colombo Sri Lanka"
192,Waves Bar & Restaurant,"10th Lane , Marine Drive, Colombo Sri Lanka"
193,Baked - Dessert & Coffee House,"37A Elibank Road, Colombo 00500 Sri Lanka"
194,Pizza Hut,"Borella Cross Rd, Colombo 01000 Sri Lanka"
195,Panorama Restaurant,"33 Canal Row, Colombo Fort, Colombo Sri Lanka"
196,Kitchen by OWSC,"Campbell Park Old Wesleyite Sports Club, Colombo 00900 Sri Lanka"
197,DÈlifrance,"5 Alexandra Place ODEL - Alexandra Place, Colombo 00700 Sri Lanka"
198,Almonds Exclusive,"313 Galle Road, Colombo 00300 Sri Lanka"
199,Jade Restaurant,"295 Kotte Rd, Colombo 00900 Sri Lanka"
200,Tribe Cafe,"314, Nawala Road, Nawala, Colombo Sri Lanka"
201,Round Island,"20 Shady Grove Avenue, Colombo Sri Lanka"
202,Barracuda - Crow Island,"Crow Island Beach Park, Crow Island, Colombo 00150 Sri Lanka"
203,Ivy Lane Restaurant,"146 Galle Rd, Colombo 00300 Sri Lanka"
204,InDoose Indian Restaurantr,"Madiwela Road, Talawatugoda, Colombo Sri Lanka"
205,Side Walk Cafe,"Canal Row, Colombo Sri Lanka"
206,Which Way West - Cafe/Pub/Lounge,"1st Floor, Liberty Arcade, 282 R. a. de Mel Mawatha Duplication Road, Colombo 01000 Sri Lanka"
207,Grid Restuarent & Lounge,"260/1 Pannipitiya Road Pellawatta, Colombo 01400 Sri Lanka"
208,Amrith,"5 De Fomceka Road No 2, Colombo 00500 Sri Lanka"
209,Wish Bakers & Restaurant,"110 Kotte Road, Welikade, Rajagiraya, Colombo Sri Lanka"
210,PODI The Fusion Bistro,"289 Vauxhall Street, Colombo 00200 Sri Lanka"
211,Klassy,"535 Nawala Road Sri Jayawardenepura, Colombo 11222 Sri Lanka"
212,Pooja Foods,"Thalawathugoda Road Madiwela, Colombo Sri Lanka"
213,JuiceMo,"Independence Walk Kurunduwatta, near Independence Square, Colombo 00700 Sri Lanka"
214,Rampe By Sushi Bar,"226,sri Jayawardanepura Mawatha Sri Jayawardanepura. Kotte, Colombo Sri Lanka"
215,Wayside Thai Cafe,"146/3 Caldera Gardens, Colombo 10250 Sri Lanka"
216,Marrybrown Family Restaurant,"32 Kinross Ave, Colombo 00600 Sri Lanka"
217,Delish,"292/B, Havelock Road, Colombo Sri Lanka"
218,Chinese Dragon Cafe,"No. 11 Miligiriya Avenue Bambalapitiya, Colombo 00400 Sri Lanka"
219,The Foodcycle,"325A Galle Road, Colombo 00400 Sri Lanka"
220,Grill House,"574,kotte Road Sri Jayawardanepura. Kotte, Colombo Sri Lanka"
221,Bombay Sweet Mart,"Maradana Road Colombo 10, Colombo Sri Lanka"
222,Rolex Hotel Restaurant,"360 Galle Road, Colombo Sri Lanka"
223,The Spice Cuisine,"8 Frankfurt Place, Colombo 00400 Sri Lanka"
224,Crab & Pepper Seafood Lounge Bar,"1 Galle Road One Galle Face Mall . Level 1 - Facing Gall Road, Colombo 00100 Sri Lanka"
225,Sri Krishna Thosai Kade,"43,kolonnawa Road Dematagoda .colombo. 9, Colombo Sri Lanka"
226,Bellissimo,"No 15, Fife Road Colombo 05, Colombo Sri Lanka"
227,My Sisters Kitchen,"53 New City Garden Godabauwana. Piliyandala., Colombo Sri Lanka"
228,H. Brother's,"No 163 Deans Road, Colombo 01000 Sri Lanka"
229,Coffee Colombo,"29 Milagiriya Avenue, On Marine Drive, Colombo 00400 Sri Lanka"
230,The Chaat Company,"5 Rohini Road, Colombo 00600 Sri Lanka"
231,Malar Cafe,"Cww Kanangara Mawatha, Colombo Sri Lanka"
232,Bombay Sweet Centre,"161 Galle Road, Colombo Sri Lanka"
