,Name,Location
0,Momo's by Ruvi,"664 Galle Main Road, Colombo 00300 Sri Lanka"
1,The t-Lounge on Chatham Street by Dilmah,"62/2 Chatham Street Dutch Square, Block B, Colombo 01000 Sri Lanka"
2,Life Food,"31 Perehara Mawatha Corner of Alwis Place, Colombo 00300 Sri Lanka"
3,Geek HQ,"17A Frankfort Place, Colombo 00400 Sri Lanka"
4,Kiku Colombo,"32 A1, Dickmans Rd, Colombo 00500 Sri Lanka"
5,Belmio Pizza,"544 Madiwela Rd, Thalawathugoda, Colombo Sri Lanka"
6,Arpico Supercentre,"Hyde Park Corner, Colombo Sri Lanka"
7,Yaal,"Marine Drive Wellawatta, Colombo Sri Lanka"
8,Sri Vihar,"Havelock Rd Havelock Town, Colombo Sri Lanka"
9,Mama Louies Sooriya Village,"49 Skelton Road Sooriya Village, Colombo 00500 Sri Lanka"
10,The Chaat Kade,"78C W.A Silva Mawatha, Colombo 00600 Sri Lanka"
11,Café La Défense,"124, Park Road, Colombo 20000 Sri Lanka"
12,Amaravathi,"2 Mile Post Ave Kollupitiya, Colombo Sri Lanka"
13,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
14,Hotel Sapphire,"No. 371 Galle Road, Colombo 00600 Sri Lanka"
15,Alhambra,"30 Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300 Sri Lanka"
16,Shisha Luv,"16 Flower Road, Colombo Sri Lanka"
17,Greenlands Hotel,"3A Shrubbery Gardens Bambalapitiya, Colombo Sri Lanka"
18,Santai Colombo,"8 Stratford Avenue, Colombo 00600 Sri Lanka"
19,Peri Peri Kukula,"Jawatta Road, Colombo 00500 Sri Lanka"
20,Urban Green,"Unity Place #10, Colombo 00300 Sri Lanka"
21,Smokestacks,"190 Cotta Road Borella, Colombo 00800 Sri Lanka"
22,Grand Beijing Chinese Restaurant,"62/A Dharmapala Mawatha, Colombo 00300 Sri Lanka"
23,MY Dining,"16 Park Road, Colombo 00500 Sri Lanka"
24,The Coffee Bean & Tea Leaf,"385 Galle Rd The Landmark Buildin, Colombo Sri Lanka"
25,Barista,"Laksala Building, # 7, Reid Mawatha, Cinnoman Gardens Laksala Premises, Colombo 00700 Sri Lanka"
26,Urban Kitchen,"Arpico Super Store 69 Hyde Park, Colombo Sri Lanka"
27,Tea Avenue,"01 Center Road L1-70, One Galle Face Mall, Colombo 00200 Sri Lanka"
28,Jasmine Song,"63 Dickmans Road Colombo 5, Colombo 00500 Sri Lanka"
29,Hotel De Buhari,"15, Panchikawatta Road Maradana, Colombo Sri Lanka"
30,Arcadia Cafe and restaurant,"9/7 16th Lane, Colombo 00300 Sri Lanka"
31,Sri Vani Vilas Hotel,"12 Shri Vani Vilas Hotel Pvt Ltd. 256, Messenger Street, Colombo - 12, Sri Lanka, Colombo 01200 Sri Lanka"
32,Roccoís,"29A Gregory's Road, Colombo 00700 Sri Lanka"
33,Hotel de Pilawoos,"Chatham Street 100, Colombo Sri Lanka"
34,Flamingo Restaurant at Ceylon City Hotel,"11 Upatissa Road, Colombo, Colombo 00400 Sri Lanka"
35,Bbq Station,"65/4 Kirula Rd, Colombo 00500 Sri Lanka"
36,Scarlet Room,"32 Alfred House Avenue Colombo Courtyard, Colombo 00300 Sri Lanka"
37,Saraswathie Lodge,"191 Galle Rd., Colombo Sri Lanka"
38,Barista,"33 Staple St, Colombo 00200 Sri Lanka"
39,Amirthaa,"256 A, Galle Road, Colombo Sri Lanka"
40,David's Dangerously Delicious Char Siu,"27/5 Rosmead Place, Colombo 00700 Sri Lanka"
41,Great Wall Restaurants,"491 Galle Road Colombo, Colombo 00300 Sri Lanka"
42,E-Cafe,"120A Havelock Road, Colombo 00500 Sri Lanka"
43,IL Cielo,"101/11 Hunupitiya Lake Road, Colombo 02. The Goldblock, 5th floor, Colombo 00200 Sri Lanka"
44,Redsnapper Seafood Restaurant,"64/2 Chatham St, Colombo 00100 Sri Lanka"
45,The Paddington,"44/1 Horton Place Colombo 07, Colombo 00700 Sri Lanka"
46,Nana's,"Galle Face Green, Colombo Sri Lanka"
47,Raheema Hotel,"44 Thurstan Road, Colombo Sri Lanka"
48,TeaTalk,"5 Number 343, Park Road, Colombo, Colombo 00500 Sri Lanka"
49,Vilasa Cottage,"Bambalapitiya Majestic City, Colombo 00900 Sri Lanka"
50,Food Studio at Colombo City Centre,"137 Sir James Pieris Mawatha, Colombo 00200 Sri Lanka"
51,Pizza Hut,"321/A, Union Place, Colombo 00200 Sri Lanka"
52,The Central Perk,"9/6 A, 16th Lane, Marine Drive Kolpetty, Colombo 00300 Sri Lanka"
53,Takeout Lanka,"No. 33A Dr. Lester James Peiris Mawatha, Dickmans Road , Colombo - 5, Colombo 00200 Sri Lanka"
54,Dindigul Thalappakatti Restaurant,"No 9 De Fonseka Pl, Colombo 00500 Sri Lanka"
55,Emperors Wok,"2 Sir Chittampalam A Gardiner Mawatha, Colombo Sri Lanka"
56,Dinemore,"Thurstan Road, Colombo7, Sri Lanka, Colombo Sri Lanka"
57,Pizza Hut,"# 7 Station Road Bambalapitiya, Colombo 00400 Sri Lanka"
58,Tempura Shikisen,"No 37 School Lane, Colombo 00300 Sri Lanka"
59,Chana's,"No. 54 WA Silva Mawatha, Colombo 00600 Sri Lanka"
60,Brew 1867 By Dilmah,"38/46 Navam Mawatha, Colombo 00200 Sri Lanka"
61,Cafe Fort,"124, York Street Colombo-01, Colombo Sri Lanka"
62,Ginza Hohsen,"64 Lotus Rd Galadari Hotel, Colombo 00100 Sri Lanka"
63,Culinary Craft Cafe at Villa Raha,"No 33 Macleod Road, Colombo 00400 Sri Lanka"
64,Cafe Kai,"2 Sir Chittampalam A Gardiner Mawatha The Hilton Colombo, Colombo 00200 Sri Lanka"
65,Mayura Hotel,"Sri Kathiresan St, Colombo 01300 Sri Lanka"
66,Ramen + Izakaya Makotoya,"Galle Face Centre Road L6 - 11, One Galle Face, Colombo 00100 Sri Lanka"
67,Bombay Borough,"Colombo - Galle Main Rd Level 1 - 69, One Galle Face Mall, Colombo Sri Lanka"
68,The Port Mc Callum Lock Gate Cafe & Restaurant,"08 D.R. Wijawaradana Mawatha Colombo10, Colombo 00100 Sri Lanka"
69,Floatz Pub,"590 Galle Road Tower Marino Mall, 9th Floor, Colombo 00300 Sri Lanka"
70,Subway,"03 347 Duplication Road, Colombo, Colombo 00300 Sri Lanka"
71,Panino (Cotton Collection),"145 Dharmapala Mawatha Cinnamon Gardens, Colombo 00300 Sri Lanka"
72,Cakes & Bakes,"Haig Rd, Colombo Sri Lanka"
73,De Vos Cafe,"34 De Vos Avenue, Colombo 400 Sri Lanka"
74,Cafe Rafaella,"145 Thimbirigasyaya Road, Colombo 00500 Sri Lanka"
75,Dine Mor,"234 1/1 Maaligakanda Road, Colombo Sri Lanka"
76,Pizza Hut,"92 Chatham St, Colombo 00100 Sri Lanka"
77,Suki's Wok,"411/5 Havelock Road, Colombo 6, Colombo Sri Lanka"
78,Park View Restaurant Colombo 10,"204 De Saram Place, Colombo 01000 Sri Lanka"
79,Baguette French Bakery & Cafe,"174 Galle Road British Cosmetics Building, Colombo 10370 Sri Lanka"
80,Damro Labookellie Tea Lounge,"590 Galle Main Rd, Marino Mall, Colombo Sri Lanka"
81,Praneetha,"201 Muhandiram road Off de Alwis Place, Colombo Sri Lanka"
82,Edo Japanese Restaurant,"Colombo City Center, 2nd Floor, 137 Sri James Pieris Mawatha,, Colombo Sri Lanka"
83,Anu Bambu Restaurant,"Kalutara, Colombo Sri Lanka"
84,Akasa Kade,"York Street, Colombo Sri Lanka"
85,The Bread Company,"Thimbirigasyaya Road, Colombo 00500 Sri Lanka"
86,Colombo YMCA,"39 Bristol St Fort, Colombo Sri Lanka"
87,Fatty Patty,"03 662, Galle Road, Colombo 662, Galle Road, Colombo 00300 Sri Lanka"
88,Java Lounge,"No 108 W.A.D.Ramanayaka Mawatha, Colombo 00200 Sri Lanka"
89,Al Maas,"45 Marine Drive, Colombo 00400 Sri Lanka"
90,Arthur's Pizzeria,"110 Horton Place Cinnamon Gardens, Colombo 00700 Sri Lanka"
91,Chinese Delight,"41-A Ridgeway Place, Marine Drive, Colombo 00400 Sri Lanka"
92,Curry Leaves Indian,"Colombo  - 6, Colombo Sri Lanka"
93,Moti Mahal,"No. 08, Flower Road, Colombo 7, Colombo Sri Lanka"
94,Chola Authentic Indian Restaurant,"37 Lily Avenue Wellawatta, Colombo 00600 Sri Lanka"
95,Calorie Counter Colombo 5,"No 7 Havelock Place, Colombo 00500 Sri Lanka"
96,Lan Tao Cafe & Fusion Restaurant,"# 47 Thibirigasyaya Road, Colombo 05, Sri Lanka, Colombo 00500 Sri Lanka"
97,Fisherman's Villa,"43/19 College Ave Mt Lavinia, Colombo Sri Lanka"
98,Pho Vietnam,"62 Havelock Road Behind the Baguette and Down the Lane, Colombo 00500 Sri Lanka"
99,Forty Seven Spice,"47/1 Jawatte Road, Colombo, Colombo 00500 Sri Lanka"
100,Superfood,"33 Macleod Road Corner of R A De Mel Mawatha & Davidson Road, Colombo 00400 Sri Lanka"
101,Madras Masala,"06 No 11, Dr .E.A.Coorey Mawatha, Colombo 00600 Sri Lanka"
102,Hadramout resturant for arabicha,"263 Deans Road Maradana, Colombo Sri Lanka"
103,Moon River,"140, Thimbirigaryaya Road, Colombo Sri Lanka"
104,Mintaka Restaurant,"19th Floor, Tower 1, Orion City, 736 Dr Danister de Silva Mawatha, Dematagoda Best Western Elyon, Colombo 00900 Sri Lanka"
105,Praneetha Foods,"201 Muhandiram's Road, Colombo 00300 Sri Lanka"
106,Amro Vegetarian Cafe,"22, Old Kasbewa Road, Nugegoda, Colombo Sri Lanka"
107,Fountain Cafe,"Union Place Near the Staple Street junction, There's a Keells Supermarket, Colombo Sri Lanka"
108,Kumbuk Kitchen,"181 Srimath Anagikara Dharmapala Mawatha Urban Island, Colombo 00700 Sri Lanka"
109,Sen-Saal,"1 Bank of Ceylon Mawatha World Trade Center, Colombo Sri Lanka"
110,Sheherazade,"64, Lotus Road Hotel Galadari, Colombo Sri Lanka"
111,Harbour Stop,"No.50, Sir Baron Jayatilaka Mawatha, Colombo Sri Lanka"
112,Saveira Indian Restaurant,"185/5 Havelock Road, Colombo 00500 Sri Lanka"
113,Cafe 97,"97 Fife Road, Colombo 00500 Sri Lanka"
114,Cafe 64 Pastry Shop,"64 Lotus Road Galadari Hotel, Colombo 11000 Sri Lanka"
115,Kami Maki Colombo 07,"07 54c, Ward Place, Colombo, Colombo 01000 Sri Lanka"
116,Halo Diner,"31A Sea Avenue, Colombo 00300 Sri Lanka"
117,The Food Station,"123 Vinyalankara Mawatha, Colombo 01000 Sri Lanka"
118,Caterina Pizzeria,"No. 11 Rheinland Place Kollupitiya, Colombo 00300 Sri Lanka"
119,Queens Cafe,"Duplication Road, Colombo Sri Lanka"
120,Indulge Desserts Co.,"29/5 Stratford Avenue, Colombo Sri Lanka"
121,Eastern Wok,"38 Walukarama Road, Colombo Sri Lanka"
122,Baker's Choice CafÈ,"07 No. 75a, Kynsey Road, Colombo, Colombo 00700 Sri Lanka"
123,VU-Restobar,"102A Kirulapone Avenue Baseline Road, Colombo 00500 Sri Lanka"
124,Ammas Tasty and Healthy Food,"297-1/1 George R. de Silva Mawatha Colombo 01300, Sri Lanka, Colombo 00100 Sri Lanka"
125,Quick Thai,"Park Road, Colombo 00500 Sri Lanka"
126,The Brick Lane Cookie Company,"Galle Main Rd Crescat Boulevard, Colombo Sri Lanka"
127,Red Orchids Restaurant,"35 Castle Lane Colombo 04, Colombo Sri Lanka"
128,Cafe Sociale,"252 Galle Road Milagiriya, Colombo 00400 Sri Lanka"
129,Eat,"38 Clifford Place Bambalapitiya, Colombo 00400 Sri Lanka"
130,Kaffeine by REPUBLK,"57 Hospital Street, Colombo 00100 Sri Lanka"
131,Jack Tree,"200 Park Road, Colombo Sri Lanka"
132,Moksha,"27 Hildon Place (Opposite ICBT Campus), Colombo 00400 Sri Lanka"
133,Beruwala Eating House,"46/3 Galle Road wellawatta, Colombo Sri Lanka"
134,Hotel Sunhill Chinese Restaurant,"Hotel Sunhill Colombo, Kollupitiya Palmyrah Avenue, Colombo Sri Lanka"
135,Sukiya,"Galle Road Mount Lavinia, Colombo Sri Lanka"
136,Butlers,"33B Park Street, Colombo 00200 Sri Lanka"
137,Delifrance,"Duplication Road Deal Place, Colombo Sri Lanka"
138,Sushi Kai,"143A Jawatte Rd, Colombo 00500 Sri Lanka"
139,Ruhunu Foods,"Lotus Road,, Colombo Sri Lanka"
140,Far East,"372 Vauxhall Street, Colombo 00200 Sri Lanka"
141,Orient Club,"1 Rajakeeya Mawatha, Colombo 00700 Sri Lanka"
142,Kitchen3576 FoodTruck,"Wellawatte In front of OZO hotel, Colombo Sri Lanka"
143,Juiceez,"29B, Maitland Place, Colombo Sri Lanka"
144,Bombay Sweet Mahal,"195 Galle Road, Colombo 00600 Sri Lanka"
145,The Keg,"T B Jayah Road,  Maradana, Colombo 10 Excel World, Colombo Sri Lanka"
146,Curry Pot Restaurant,"39 Bristol Street, Colombo 00100 Sri Lanka"
147,Steamboat Restaurant,"14, Narahenpita Road Nawala, Colombo Sri Lanka"
148,The Grove,"289 High Level Rd, Colombo 00500 Sri Lanka"
149,TACOCAT,"07 11 Wijerama Mawatha, Colombo next to Black Cat Cafe, Colombo 00700 Sri Lanka"
150,Sri Lankan Restaurant,"No 2 York Street, Colombo 01, Colombo Sri Lanka"
151,Kinnaree,"62/6, Old Dutch Hospital Square, Chatham Street, Colombo Sri Lanka"
152,Pure Kitchen,"3 Jawatte Ave Body Bar Gym, Colombo 00500 Sri Lanka"
153,KIKU Colombo,"5 32 A1 Dr Lester James Peries Mw Col Above the Shirohana, Colombo 00500 Sri Lanka"
154,Kohinoor Restaurant,"9 Edward Lane Pearl Grand Hotel, Colombo 00300 Sri Lanka"
155,Bombay Sweet Meat Mart,"201 2nd Cross Street, Colombo Sri Lanka"
156,Hancook kitchen,"No:501/1/A, New Kandy Rd Thalangama North, Thalangama, Colombo 10100 Sri Lanka"
157,Food Waves,"Kandewatta Road Nawala, Colombo Sri Lanka"
158,Makye Ame Chinese Restaurant,"4, Vajira Road, Colombo 110036 Sri Lanka"
159,668 Chinese Restaurant,"51C 7 Alexandra Pl, Colombo 00700 Sri Lanka"
