,Name,Location
0,King of the Mambo,"Galle Face Hotel, Colombo 00300 Sri Lanka"
1,Sapphyr Lounge,"02 No 01 Galle Face Shangri-La Hotel Colombo, Colombo 00200 Sri Lanka"
2,Shang Palace,"02 1 Galle Face Shangri-La Hotel, Colombo 00200 Sri Lanka"
3,"The Ocean, The Kingsbury","48 Janadhipathi Mawatha,, Colombo Sri Lanka"
4,Kings Steakbar,"Janadhipathi Mawatha Kingsbury Hotel, Colombo Sri Lanka"
5,Capital Bar & Grill,"02 1 Galle Face, Colombo Shangri-La Hotel, Colombo, Colombo 00200 Sri Lanka"
6,Nuga Gama,"77 Galle Road, Colombo Sri Lanka"
7,Noodles Restaurant,"Galle Road A2 Cinnamon Grand Colombo, Colombo Sri Lanka"
8,Golden Dragon,"25 Galle Road Taj Hotel, Colombo 01100 Sri Lanka"
9,Tao,"77 Galle Road Colombo 3, Colombo 00300 Sri Lanka"
10,"Harbour Court, The Kingsbury","48 Janadhipathi Mawatha,, Colombo Sri Lanka"
11,Ports of Call,"25 Galle Face Center Road, Colombo 00300 Sri Lanka"
12,Navratna,"Taj Samudra, No. 25, Galle Face Centre Road, Colombo 03, Colombo Sri Lanka"
13,Honey Beach Club,"48 Janadhipathi Mawatha Lobby Level, Ground Floor, Colombo 00100 Sri Lanka"
14,Lagoon,"117 Sir Chittampalam A Gardiner Mawatha Cinnamon Grand Colombo, Colombo 00100 Sri Lanka"
15,Breeze Bar,"Cinnamon Grand Hotel, Colombo Sri Lanka"
16,Echo,"77, Galle Road Cinnamon Grand Hotel, Colombo Sri Lanka"
17,Kaema Sutra,"One Galle Face Shangri-La, Colombo 00200 Sri Lanka"
18,The Dining room at Cinnamon Lakeside Colombo,"115 Sir Chittampalam A. Gardiner Mawatha Cinnamon Lakeside, Colombo 00200 Sri Lanka"
19,Chutneys At Cinnamon Grand Colombo,"77 Galle Road, Colombo 00300 Sri Lanka"
20,The London Grill,"77 Galle Road Cinnamon Grand, Colombo 00300 Sri Lanka"
21,Royal Thai - Cinnamon Lakeside,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka"
22,Cheers Pub,"77, Galle Road, Colombo 3 Cinnamon Grand Colombo, Colombo Sri Lanka"
23,Tintagel Colombo - Paradise Road,"65 Rosmead Place Colombo 07, Colombo Sri Lanka"
24,Botanik Bistro & Roof Top Bar,"1 Fair Way Hotel 7 Hospital Street Colombo Rooftop, Colombo 00100 Sri Lanka"
25,Paradise Road The Gallery Cafe,"2 Alfred House Road, Colombo 00300 Sri Lanka"
26,Long Feng – Cinnamon Lakeside,"115 Sir Chittampalam A Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 00200 Sri Lanka"
27,Taprobane,"77, Galle Road, Colombo 3,, Colombo Sri Lanka"
28,Barefoot Garden Cafe,"704 Galle Rd Kollupitiya, Colombo 00300 Sri Lanka"
29,Monsoon Colombo,"50/2 Park Street Colombo 02, Colombo 00200 Sri Lanka"
30,Sugar Bistro & Wine Bar,"Crescat Boulevard, Lobby -L1 Colombo 00300, Colombo Sri Lanka"
31,Ministry of Crab,"Old Dutch Hospital, Colombo Sri Lanka"
32,Palmyrah Restaurant,"328 Galle Rd Kollupitiya, Colombo 3 Sri Lanka"
33,AYU,"24 Dharmapala Mawatha 4th Floor, Colombo 00300 Sri Lanka"
34,The Poolside Bar and Terrace,"2 Galle Road Galle Face Hotel, Colombo Sri Lanka"
35,The Bavarian German Restaurant and Pub,"11 Galleface Court Kollupitiya, Colombo 00300 Sri Lanka"
36,Yumi,"25 Galle Face Centre Road Hotel Taj Samudra, Colombo 00300 Sri Lanka"
37,Waters Edge,"316 Ethul Kotte Road Battaramulla, Colombo 10100 Sri Lanka"
38,The Mango Tree,"No. 82, Dharmapala Mawatha, Colombo Sri Lanka"
39,&Co Pub and Kitchen,"The Steuart by Citrus, No 45, Hospital Lane Off Chatham Street, Colombo 00100 Sri Lanka"
40,Revolution Colombo,"No.230, 7 Torrington Ave Trillium Boutique City Hotel - Colombo, Colombo 00700 Sri Lanka"
41,Cricket Club Cafe,"12 Flower Road, Colombo 00700 Sri Lanka"
42,ColomBar at Cinnamon Lakeside Colombo,"115 Sir Chittampalam A. Gardiner Mawatha, Colombo 00200 Sri Lanka"
