,Name,Location
43,Raja Bojun,"282 R,A, De Mel Mawatha Liberty Arcade, Kollupitiya, Colombo 00300 Sri Lanka"
44,Cloud Cafe,"32 Alfred House Avenue Colombo Courtyard, Colombo 00300 Sri Lanka"
45,California Grill,"Hotel Galadari, 64, Lotus Road, Colombo Sri Lanka"
46,Paradise Road Cafe,"213 Dharmapala Mawatha Cinnamon Gardens, Colombo Sri Lanka"
47,The 1864,"2 Galle Road, Colombo 00300 Sri Lanka"
48,Agra,"100/10 Sri Lanka Foundation Mw Off Independence Avenue,, Colombo Sri Lanka"
49,The Avenue,"No. 24 Alfred Avenue, Colombo 00300 Sri Lanka"
50,Baillie Street Merchants,"15 Mudalige Mawatha, Colombo Fort, Colombo 00100 Sri Lanka"
51,Flag & Whistle Restarant & Pub,"15 256, Srimath Ramanathan Mawatha, Colombo 5th floor, Setmil Maritime Centre, Colombo 01500 Sri Lanka"
52,Ward 7,"57 Ward Place Roof Top, Jetwing Colombo Seven, Colombo 00700 Sri Lanka"
53,The Four Leafed Clover,"168 Maya Avenue, Colombo 00500 Sri Lanka"
54,The Floor By O!,"41 3/1 Maitland Crescent, Colombo 7, Colombo Sri Lanka"
55,Berlin Sky Lounge,"101/11 Hunupitiya Lake Road, Colombo 02. The Goldblock, 7th floor, Colombo 00200 Sri Lanka"
56,Siam House Thai Restaurant,"No 17, Melbourne Ave, Colombo 4 Sri Lanka"
57,Streat 360 Restaurant,"66/3 Ward Place, Colombo 00000 Sri Lanka"
58,Xilaton Chinese Restaurant,"Havelock Road Colombo 5, Colombo Sri Lanka"
59,German Artisan Bakery and Deli,"461, Thimbirigasyaya Road Colombo 5, Colombo Sri Lanka"
60,ON14 Rooftop Bar,"No. 36-38, Clifford Place Marine Drive, Wellawatta, Colombo Sri Lanka"
61,Shandong the Chinese Kitchen,"1092 Sri Jayawardenapura Mw, Rajagiriya, Colombo 01100 Sri Lanka"
62,The Irish Bar & Grill,"63 Park Street, Colombo 00200 Sri Lanka"
63,"Barista, World Trade Center","Level 3, World Trade Centre, Colombo 00100 Sri Lanka"
64,Tasty Caterers,"88 Fife Road, Colombo 00500 Sri Lanka"
65,Sunlight Garden Chinese Seafood Restaurant,"No.21, Abdul Cafoor Mawatha, Colombo Sri Lanka"
66,The Exchange Restaurant + Pub,"39 4/1, Canal Row, Colombo 00100 Sri Lanka"
67,PastaMania Srilanka,"502 R A De Mal Mawatha, Colombo 00300 Sri Lanka"
68,Cafe Blanca,"401 / 14E Malalasekara Mawatha, Thimbirigasyaya, Colombo 5, Colombo Sri Lanka"
69,RE.PUB.LK,"57 Hospital Street Colombo Fort, Colombo 00100 Sri Lanka"
70,Harbour Room,"2 York St Fort, Colombo Sri Lanka"
71,The Sandwich Factory,"10 Palm Grove Colombo 3, Colombo 00300 Sri Lanka"
72,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
73,Cafe Colombo,"L6/5,One Galle Face Mall, 1A, Centre Road, Galle Face, Colombo 00200 Sri Lanka"
