,Name,Location
0,Plus Nine Four,"35 D S Fonseka Road, Colombo 00500 Sri Lanka"
1,Ramen Misoya Colombo,"Reid Avenue Race Course Promenade, Colombo 00000 Sri Lanka"
2,Yue Chuan,"48 Janadhipathi Mawatha, Colombo 00100 Sri Lanka"
3,Epicure,"7 65 B Gregory's Road, Colombo Next door to the Swiss Embassy, Colombo 00700 Sri Lanka"
4,Chambers At Park Street Mews,"48 D, Park Street D, Colombo 00200 Sri Lanka"
5,Shanmugas,"06 53/3 Ramakrishna Road Colombo, Colombo 00600 Sri Lanka"
6,Thai Cuisine Boulevard,"33 Queens Road, Colombo 00300 Sri Lanka"
7,A Minute by Tuk Tuk Colombo,"No 9 Level 06, Sunset Terrace, One Galle Face, Colombo, Colombo 00100 Sri Lanka"
8,Culinary Ceylon,"Hospital Street, Colombo Sri Lanka"
9,The t-Lounge by Dilmah,"Shop #04, Arcade Independence Square, Colombo Sri Lanka"
10,Robata Grill and Lounge,"No. 24 Dharmapala Mawatha Movenpick Hotel Colombo, Colombo 00300 Sri Lanka"
11,Thalis,"155 Park Road Colombo 05, Colombo Sri Lanka"
12,The Manhattan Fish Market Sri Lanka,"No. 31 Deal Place, Colombo 00300 Sri Lanka"
13,New Banana Leaf,"720 Galle Road, Colombo 00300 Sri Lanka"
14,The Cafe on the 5th,"5th Lane, Colombo Sri Lanka"
15,Nihonbashi,"Galle Face Terrace, Colombo Sri Lanka"
16,Green Cabin Kollupitiya,"453 Galle Rd, Colombo 00300 Sri Lanka"
17,Pho Vietnam,"71 Rosemead Place, Colombo 01000 Sri Lanka"
18,Crab Factory,"25, Galle Face Center Road, Colombo Sri Lanka"
19,Sri Suryas,"255, Sea Street, Colombo 11, Colombo Sri Lanka"
20,Culture Colombo,"No 25 Kensington Gardens, Colombo 00400 Sri Lanka"
21,Curry Pot,"314/1a Kollupitiya Road Marine Drive, Colombo 00300 Sri Lanka"
22,Dwaraka,"37, Jayashree Road Marine Drive, Colombo Sri Lanka"
23,The Lagoon,"77 Galle Road Cinnamon Grand Colombo, Colombo Sri Lanka"
24,Next Innings,"Old Dutch Hospital, Colombo Sri Lanka"
25,Bowl'd,"30 Sea View Avenue, Colombo 00300 Sri Lanka"
26,The Grill - The Kingsbury,"The Kingsbury Janadhipathi Mawatha, Colombo Sri Lanka"
27,Dao Krua Thai,"618 Colombo - Galle Main Rd, Colombo 00300 Sri Lanka"
28,Shelton Sea Food Restaurant,"43/16 College Avenue, Dehiwala-Mount Lavinia Sri Lanka"
29,Hotel De Pilawoos,"417 Galle Road Kollupitiya, Colombo 00300 Sri Lanka"
30,Cafe Japan,"No. 25 Borella Cross Road, Colombo 00800 Sri Lanka"
31,Ask For Fern,"32B Sir Mohamed Macan Marker Mawatha The entrance is through The Little Flower Shop, Colombo 00300 Sri Lanka"
32,Fire and Ice Pizzeria,"4 9a Glen Aber Place, Bambalapitiya, Colombo, Colombo 00300 Sri Lanka"
33,PappaRich,"33 Park Street Parkland Building, Colombo 00200 Sri Lanka"
34,One Up all Day Breakfast & Coffee,"330 Galle Road, Colombo 00400 Sri Lanka"
35,Nara Thai Sri Lanka,"03 #3, Deal Place, Colombo, Colombo 00300 Sri Lanka"
36,Grand Monarch,"527/7, Borella Road, Thalawathugoda, Colombo 10116 Sri Lanka"
