,Name,Location
37,The Verandah,"3 2 Galle Road, Colombo Galle Face Hotel, Colombo 00300 Sri Lanka"
38,Min Han,"14 Deanston Place, Colombo Sri Lanka"
39,Blue Field Tea Center,"# 54 Haig Road, Colombo 00400 Sri Lanka"
40,88 Chinese Seafood House,"No 98/1 Havelock Road, Colombo 00300 Sri Lanka"
41,Health House,"2B Reid Avenue, Race Course, Colombo 00700 Sri Lanka"
42,Street Burger,"34 Ramya Road, Colombo 00400 Sri Lanka"
43,Travellers' Bar,"2 Galle Road, Colombo Sri Lanka"
44,Elevate Restaurant & Bar,"02 278/4 Union Place Colombo 29th floor, Access South Tower, Colombo 00200 Sri Lanka"
45,Manhattan Fish Market,"Rajagiriya Jayewardenepura Kotte, Colombo Sri Lanka"
46,Verandah Bistro & Bar at Hilton Colombo Residences,"200 Union Place Colombo, Sri Lanka 02, Colombo Sri Lanka"
47,Cafe Nuga,"7 69a, Green Path, Colombo, Colombo 00700 Sri Lanka"
48,The Pizza Bakery - Bar & Eatery,"L6, One Galle Face Mall, 1A, Centre Road, Galle Face L6-04, One Galle Face Mall, Colombo 00200 Sri Lanka"
49,Yue Chuen,"48 Janadhipathi Mawatha, Colombo 00100 Sri Lanka"
50,Kami Maki,"26, De Vos avenue Colombo 04, Colombo Sri Lanka"
51,Bubble Me Bubble Tea,"106 Thimbirigasyaya Road, Colombo Sri Lanka"
52,Sahal Restaurant,"30 Arcade Independence Square, Colombo 00700 Sri Lanka"
53,Peppermint Cafe,"76 Wijerama Mawatha, Colombo 00700 Sri Lanka"
54,Breeze Barracuda,"10 Galle Face Drive, Colombo 00300 Sri Lanka"
55,Sudarshan Veg,"# 08 Frankfurt Place Bambalapitiya, Colombo 00400 Sri Lanka"
56,Naniyori by Steam Boat,"No 14, Narahenpita Road, Colombo Sri Lanka"
57,Chillax Garden Pub,"No.11 Marine Drive Wellawatta, Colombo 00600 Sri Lanka"
58,Maharaja Palace,"1A Rajakeeya Mawatha, Colombo 00700 Sri Lanka"
59,Quick Thai,"29A, Maitland Place Colombo 7, Colombo Sri Lanka"
60,Acropol Restaurant,"03 Schofield Place, Colombo 00300 Sri Lanka"
61,Kyoto Mirai,"03 No 213, Galle road, Colombo, Colombo 00300 Sri Lanka"
62,Table By Taru,"Lake Lodge,, Colombo 00300 Sri Lanka"
63,Cajun on Wheels Sri Lanka,"Bullers lane Colombo 00700, Colombo 10250 Sri Lanka"
64,WIP (Work In Progress),"Old Dutch Hospital Shopping Precinct Echelon Square, Colombo Sri Lanka"
65,Zen Sushi,"115 Rosmead Place, Colombo 00700 Sri Lanka"
66,Colombo Swimming Club,"148 Galle Road 148, Storm Lodge, Colombo 00300 Sri Lanka"
67,Kava Island Bar,"# 41 Maitland Crescent, Colombo 00700 Sri Lanka"
68,Life's Good Kitchen,"No 61 Kassapa Road Jawatta road, Colombo 00500 Sri Lanka"
69,VOC Cafe,"114 Reid Avenue The Dutch Burgher Union, Colombo 00400 Sri Lanka"
70,Quick Thai,"424 A Pannipitiya Road, Colombo 10120 Sri Lanka"
71,168 Sea Food Palace,"8 Sea View Avenue, Colombo Sri Lanka"
72,Majestic City,"Galle Rd Bambalapitiya, Colombo Sri Lanka"
73,The Lion Pub,"220 Galle Street, Colombo 10370 Sri Lanka"
74,The Lounge,"115, Sir Chittampalam A.Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 2 Sri Lanka"
75,Kuuraku Japanese Restaurant,"48B Park Street Mews, Colombo 00200 Sri Lanka"
76,Mathura,"16 Melbourne Avenue Colombo 04, Colombo Sri Lanka"
77,BASICO Bar Lounge,"200 Union Place, Colombo 00200 Sri Lanka"
78,M'eat US,"16, Flower Road Colombo 07, Colombo Sri Lanka"
79,Lattice Lounge,"25 Galle Face Center Road, Colombo Sri Lanka"
80,Crystal Jade,"Level 6, One Galle Face Mall, Colombo Sri Lanka"
81,The Margarita Blue,"The Galadari Hotel, 64, Lotus Road, Colombo Sri Lanka"
82,Ranbath,"32 Sri Sambuddhatva Jayanthi Mw Sri Sambuddathva Jayanthi Mandiraya, Colombo 00500 Sri Lanka"
83,Chatz Cafe,"79 Horton Place, Colombo Sri Lanka"
84,Blackout,"36 Ward Place Colombo 7, Colombo 00700 Sri Lanka"
85,The Pool Bar,"2 Galle Road, Colombo 00300 Sri Lanka"
86,The Dragon,"7, Canal Row Road, Colombo 01, Colombo Colombo 01 Sri Lanka"
87,The Mezza9,"No 210, Torrington Avenue Trillium Hotels, Colombo 00700 Sri Lanka"
88,AllStar Sports Lounge,"117/1 Dharmapala Mawatha, Colombo 00700 Sri Lanka"
89,The Station,"no 41/1, Wasala Road Dehiwala, Colombo Sri Lanka"
90,Sakura,"15 Rheinland Pl Kollupitiya, Colombo Sri Lanka"
91,Tang Dynasty,"75 Dickmans Road, Colombo Sri Lanka"
92,Coffee Club,"15 Fife Road Colombo  5, Colombo Sri Lanka"
93,Han Gook Gwan,"25 Havelock Road, Colombo Sri Lanka"
94,Otter Aquatic Club,"380/1 Bauddhaloka Mawatha, Colombo 00700 Sri Lanka"
95,The t Lounge & Bar by Dilmah,"1A, Centre Road One Galle Face Mall, Colombo Sri Lanka"
96,Colombo Bistro,"No 7 Hospital Street Fairway Colombo Hotel, Colombo 00100 Sri Lanka"
97,Chopsticks,"317/1, Nawala Road, Nawala, Colombo Sri Lanka"
98,Kang's Kitchen,"28/1 Horton Place Colombo 7, Colombo Sri Lanka"
99,Kinjou Restaurant,"33 Amarasekara Mawatha, Colombo Sri Lanka"
100,The Biryani Restaurant,"No 33 Armour Street Junction, Colombo Sri Lanka"
101,Grand Slam by Mitsi,"Sir Marcus Fernando Road, Colombo 00700 Sri Lanka"
