,Name,Location
0,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
1,FLOW,"200 Union Place Hilton Colombo Residences, Colombo 00200 Sri Lanka"
2,L.A.B,"Hilton Colombo 2 Sir Chittampalam a Gardiner MW, Colombo 00200 Sri Lanka"
3,Graze Kitchen,"Number 2 Sir Chittampalam A Gardiner Mawatha Hilton Colombo, Colombo 00200 Sri Lanka"
4,Curry Leaf,"2 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka"
5,Il Ponte,"2 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka"
6,Cafe Kumbuk,"3/1 Thambiyah Avenue, Independence Avenue, Colombo 00700 Sri Lanka"
7,Sea Fish Restaurant,"15 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka"
8,Flamingo House,"58 a Horton Place Colombo 7, Colombo Sri Lanka"
9,Cafe Shaze,"56 Horton Pl, Colombo 00700 Sri Lanka"
10,rare at Residence,"20 Park Street Colombo 2, Colombo 00200 Sri Lanka"
11,Upali's,"65 C W W Kannangara Mawatha, Colombo Sri Lanka"
12,Indian Summer Colombo,"7 42, Horton Place, Colombo Cinamon Gardens, Colombo 00700 Sri Lanka"
13,Black Pepper,"Chatham Street No. 62/6, Dutch Hospital Square, Colombo 01000 Sri Lanka"
14,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
15,Park Street Mews Restaurant,"50/1 Park Street Colombo 2, Colombo 00200 Sri Lanka"
16,Mitsi's Delicacies,"34A Bagatalle Road, Colombo 00300 Sri Lanka"
17,Flavoured at Cinnamon Red,"59 Ananda Coomaraswamy MW, Colombo 03 59, Ananda Coomaraswamy Mawatha, Colombo Sri Lanka"
18,Park Street Trattoria,"50/1 Parks street Colombo, Colombo 00200 Sri Lanka"
19,Cloud Red,"No.59 Ananda Coomaraswami Mawatha, Colombo 00003 Sri Lanka"
20,The Fat Crab,"53 Haig Road Colombo 04, Colombo 00400 Sri Lanka"
21,The Barnesbury,"91 Barnes Place Colombo 7, Colombo 01100 Sri Lanka"
22,The Bayleaf,"79 Gregory's Road Colombo 7, Colombo 00700 Sri Lanka"
23,Beach Wadiya,"2 Station Ave Wellawatta, Colombo 00600 Sri Lanka"
24,Cafe Beverly,"475/C, Sri Jayawardenapura Mawatha Rajagiriya, Colombo 10107 Sri Lanka"
25,Colombo Fort Cafe,"Old Dutch Hospital Complex, Echelon Square, Colombo Sri Lanka"
26,Café Français,"Park Street 48 Park Street, Colombo 00200 Sri Lanka"
27,Tsing Tao,"Mini Stand, Race Course Promenade Reid Avenue, Cinnamon Gardens, Colombo 07., Colombo 00700 Sri Lanka"
28,Tsukiji Uoichi,"No. 30, Arcade Independence Square, Independence Square 1F Clock Tower Bldg., Colombo Sri Lanka"
29,Asylum Restaurant & Lounge Bar,"Arcade Independence Square, Colombo 07, Colombo Sri Lanka"
30,Loft Lounge Bar,"32 Alfred House Ave Colombo Courtyard, Colombo Sri Lanka"
31,Stella Karaoke Lounge and Bar,"2 Sir Chittampalam A Gardiner MW, Colombo 00200 Sri Lanka"
32,Havelock Place Bungalow,"No. 6-8 Havelock Place, Colombo Sri Lanka"
33,Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka"
34,The Manchester,"100/10 Independance Avenue Sri Lanka Foundation Road, Colombo 7 Sri Lanka"
35,Yarl Hotel,"46/1 Station Road, Wellawatte Colombo 6, Colombo Sri Lanka"
36,Pizza Hut,"No. 134 Colombo Road, Colombo 00200 Sri Lanka"
37,Cafe Bagatalle,"No. 18 Bagatalle Road, Colombo 00300 Sri Lanka"
38,Curve,"Park Street Mews, 50/1 Park street Colombo 2, Colombo 00200 Sri Lanka"
