Name,Negative_score,Positive_score
Maharaja Palace,0.100211225,0.8997888
Queens Cafe,0.1002199,0.8997801
Tao,0.100222744,0.89977723
Cafe Japan,0.100223005,0.899777
Sunlight Garden Chinese Seafood Restaurant,0.10022324,0.89977676
The London Grill,0.10022364,0.89977634
Brew 1867 By Dilmah,0.10022494,0.899775
Subway,0.10022923,0.89977074
Geek HQ,0.10023173,0.89976823
Kinnaree,0.10023577,0.89976424
Paan Paan Cafe,0.100238,0.899762
Fazly s Halal Refreshment,0.10023869,0.8997613
Milk and Honey Cafe,0.10023984,0.8997601
Tsing Tao,0.100248665,0.8997513
Kuuraku Japanese Restaurant,0.10024957,0.8997504
The Embazzy,0.10024996,0.89975005
"Barista, World Trade Center",0.100255355,0.89974463
Bowl d,0.10025821,0.8997418
VU-Restobar,0.10025879,0.89974123
Chambers At Park Street Mews,0.100261725,0.89973825
Sushi Kai,0.100264244,0.89973575
Chutneys At Cinnamon Grand Colombo,0.10026505,0.899735
The Margarita Blue,0.100265265,0.89973474
Tea Avenue,0.100266136,0.89973384
Mitsi s Delicacies,0.10027159,0.8997284
Urban Green,0.10027805,0.899722
RAMEN HAMAKAZE Colombo,0.10029111,0.8997089
Breeze Barracuda,0.1002965,0.8997035
Sri Vihar,0.100297906,0.8997021
Nana s,0.10030658,0.8996934
Flavoured at Cinnamon Red,0.10030766,0.89969236
Thalis,0.100309916,0.8996901
The Lagoon,0.100310795,0.8996892
The Central Perk,0.10032163,0.8996784
Capital Bar & Grill,0.10033106,0.89966893
&Co Pub and Kitchen,0.10034082,0.89965916
Yaal,0.10034707,0.8996529
Arabian Knights,0.10035165,0.89964837
Indo Ceylon Cafe & Dosa King,0.10035943,0.89964056
Curry Leaf,0.10036127,0.8996387
Shanmugas,0.10036351,0.8996365
Peri Peri Kukula,0.10037884,0.8996211
Momo s by Ruvi,0.10038282,0.8996172
The VoV (VoV7),0.100385934,0.89961404
Curry Leaves Indian,0.10038952,0.8996105
Tempura Shikisen,0.10040142,0.89959854
Graze Kitchen,0.100412,0.899588
